,id,kanji,strokes,grade,kanji_classification,jlpt_test,name_of_radical,radical_freq,reading_with_joyo,reading_beyond_joyo,nb_of_on,on_within_joyo,kanji_id_nelson,nb_meanings_on,translation_of_on,nb_kun_within_joyo_inflections,nb_kun_within_joyo_no_inflections,kun_within_joyo,nb_meanings_kun,translation_of_kun,year_inclusion,kanji_frq_proper_nouns,acc_frq_on_with_proper_nouns,acc_frq_on_with_proper_nouns.1,on_ratio_with_proper_nouns,acc_frq_on_beyond_joyo_with_proper_nouns,acc_frq_kun_beyond_joyo_with_proper_nouns,acc_on_ratio_beyond_joyo_with_proper_nouns,kanji_frequency_without_proper_nouns,acc_frq_on_without_proper_nouns,acc_frq_kun_without_proper_nouns,on_ratio_without_proper_nouns,acc_frq_on_beyond_joyo_without_proper_nouns,acc_frq_kun_beyond_joyo_without_proper_nouns,on_ratio_beyond_joyo_without_proper_nouns,left_kanji_prod,right_kanji_prod,acc_frq_left_prod,acc_frq_right_prod,symmetry,left_entropy,right_entropy,left_1_sound,left_1_frq,left_2_sound,left_2_frq,left_3_sound,left_3_frq,left_4_sound,left_4_frq,left_5_sound,left_5_frq,left_6_sound,left_6_freq,right_1_sound,right_1_frq,right_2_sound,right_2_frq,right_3_sound,right_3_frq,right_4_sound,right_4_frq,right_5_sound,right_5_frq,right_6_sound,right_6_frq,right_7_sound,right_7_frq,bert_small_embeddings,tsne_2D_coordinates
1545,1546,瞳,17,7,形声 Phonetic,1,"Me, Mehen",19,ドウ、ひとみ,トウ,1,doo,3961,1,pupil of the eye,1,1,hitomi,1,pupil of the eye,2010,2051,113,1930,0.055,6,0,0.058,1409,113,1296,0.08,0,0,0.08,0,2,0,113,.,0,0.220779923,doo,113,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,"[-0.99999785  0.00909722 -0.9995303   0.7432325  -0.9977097  -0.33702537
 -0.98943675 -0.64422715 -0.11831924 -0.02566163 -0.7609353  -0.0102324
 -0.11109051  1.         -0.6741713  -0.5549466   0.62976986  0.05220681
 -0.8534565   0.8734308   0.94530433 -0.00263378  0.8926164   0.81070775
 -0.9999176  -0.03414205 -0.99974734  0.79758734  0.9757109   0.13759804
  0.05056061  0.03364706 -0.950702   -0.38575363  0.8886085   0.99955374
 -0.9462634  -0.09435569  0.9963299  -0.9992633   0.9730622   0.9660378
 -0.99937123  0.9870408  -0.99999297 -0.34381625 -0.99925363  0.99890345
  0.8766524   0.9964649   0.90486413  0.42641175  0.01566147  0.9746517
  0.9910391   0.99983186 -0.9959435  -0.7181363   0.96547407 -0.9700863
 -0.11747552  0.76597816 -0.77269745  0.9322308  -0.5104597  -0.9999995
 -0.73617345  0.40516216  0.3491861   0.9466035   0.9942969  -0.06492132
 -0.99829155  0.20112969  0.9567479  -0.99289095 -0.65114534  0.14831603
 -0.71315616  0.12901121 -0.3053008  -0.0436182  -0.9815296  -0.9997018
  0.99960417 -0.97321546  0.45536783 -0.9322373  -0.3509753  -0.02188077
 -0.94622093  0.99925524 -0.6198509   0.99259883  0.5492597   0.49890748
 -0.92971194  0.5100247  -0.99997944 -0.97825813 -0.9953719   0.8843694
 -0.99988383 -0.9883548  -0.99040836 -0.04928818 -0.99207824 -0.9914406
 -0.2298594   0.9904466   0.99876636  0.81400675 -0.84553045  0.99625444
 -1.          0.14189829 -0.17425996 -0.16814081  0.06349089 -0.9992547
  0.24161255 -0.99999464 -0.5010114   0.47433522 -0.99994534  0.9723554
  0.96214646  0.99311835]",[-8.029946 -5.787691]
1549,1550,得,11,4,会意 Com. Ideographic,3,Gyooninben,19,トク、え-る、う-る,,1,toku,1755,3,"profit, advantage, benefit",2,2,"e(ru), u(ru)",12,"get, acquire, acquire, find, earn, win, gain, receive; can, be able to, may; commit (sin) ",1981,222334,151683,70646,0.682,0,0,0.682,222136,151502,70642,0.682,0,0,0.682,25,14,94016,50710,S,2.488647956,1.496571123,toku,50,e,102,,0,,0,,0,,0,toku,93,e,499,,0,,0,,0,,0,,0,"[-9.99997795e-01  5.31585813e-02 -9.99572933e-01  8.97281766e-01
 -9.80616033e-01  7.28732049e-01 -8.76338303e-01 -6.07094467e-01
  1.25595182e-01 -2.24076044e-02 -7.77888238e-01 -1.13772966e-01
 -1.57470718e-01  9.99999523e-01  1.00882500e-01  1.36102632e-01
  7.08864927e-01  6.54048324e-02 -7.63966560e-01  2.77463883e-01
  9.69468057e-01  1.32754430e-01  4.02692497e-01  3.13562989e-01
 -9.97620285e-01  3.51075619e-03 -9.99705672e-01  9.64378119e-01
  9.77745533e-01  3.57498303e-02  1.86401214e-02 -1.60277054e-01
 -8.81729722e-01 -4.11364913e-01  8.43037605e-01  9.99887764e-01
 -9.93782222e-01 -5.90253435e-03  9.81058002e-01 -9.98101175e-01
  7.47041166e-01  8.02017748e-01 -9.98975933e-01  9.66716111e-01
 -9.99854505e-01 -1.52483270e-01 -9.93421316e-01  9.98319626e-01
  6.46666825e-01  9.99442399e-01  5.26883304e-01 -6.90366447e-01
 -8.14667195e-02  9.45495963e-01  9.74929214e-01  9.97721076e-01
 -9.63089466e-01 -9.72187459e-01  9.35669184e-01 -7.55296409e-01
  2.04971060e-04  9.14690793e-01 -8.43451858e-01  9.15203929e-01
 -6.45053446e-01 -9.99999106e-01 -4.44142133e-01  8.45332444e-01
  8.20653200e-01  9.89103079e-01  9.95942354e-01  5.62241003e-02
 -9.89795685e-01 -2.91819703e-02  8.36369216e-01 -9.98449385e-01
 -9.55819249e-01  1.69901744e-01 -9.50562179e-01  1.28119320e-01
  1.67547330e-01  1.23486435e-02 -9.37689424e-01 -9.99381185e-01
  9.99965489e-01 -6.88773751e-01 -6.68450952e-01 -9.74257946e-01
 -9.80365694e-01  9.13148046e-01 -8.12932193e-01  9.66845214e-01
 -4.90715921e-01  8.41995299e-01  8.29872966e-01  7.46141493e-01
 -8.19159746e-01  7.25286484e-01 -9.99952137e-01 -9.15470958e-01
 -9.77705896e-01  7.87679017e-01 -9.99780536e-01 -6.86870754e-01
 -9.98211086e-01 -8.98694634e-01 -9.99549627e-01 -9.95681643e-01
  2.06962496e-01  9.84507084e-01  9.99374509e-01  9.47483122e-01
 -8.99802804e-01  9.95932281e-01 -9.99995232e-01 -1.24855964e-02
 -9.55275476e-01 -6.94321454e-01  1.09113142e-01 -9.99645889e-01
  9.97283459e-02 -9.99954104e-01 -3.13337266e-01  9.77909565e-01
 -9.99879003e-01  9.93500650e-01  9.24344599e-01  9.74982202e-01]",[-25.788137  18.091372]
1554,1555,独,9,5,形声 Phonetic,1,"Inu, Kemonohen",17,ドク、ひと-り,,1,doku,3574,1,alone,1,1,hito(ri),2,"alone, on one's own",1981,102357,96864,3182,0.968,13,0,0.968,85527,80390,3182,0.962,0,0,0.962,3,31,14675,65781,R,0.933002672,2.731724871,doku,65,doQ,642,toQ,12,,0,,0,,0,doku,14,,0,,0,,0,,0,,0,,0,"[-0.9999996   0.13145441 -0.99985635  0.3791786  -0.99808097 -0.04792606
 -0.8674664  -0.11785131  0.01480208  0.05632903 -0.38119367 -0.06612886
 -0.07560858  0.99999917 -0.607001   -0.95425195  0.90943474 -0.1102084
 -0.8837301   0.98787796  0.9198209   0.15819493  0.95220995  0.7850432
 -0.9999876  -0.06095894 -0.999183    0.93906194  0.9981625   0.1621601
  0.00180236  0.07944045 -0.9908695  -0.95061046  0.93394446  0.99979603
 -0.97715354 -0.14642248  0.9947021  -0.99885386  0.9575213   0.97981936
 -0.99968326  0.9757331  -0.99839616 -0.30084935 -0.99710786  0.99786055
  0.982181    0.9972663   0.6676778  -0.5495311   0.01061111  0.8481568
  0.98728144  0.9513067  -0.13060321 -0.96616435  0.99251866 -0.55722845
 -0.06037612  0.8358452  -0.9845589   0.9808214  -0.9495364  -0.9999991
  0.4943014   0.97067124  0.8727361   0.9938091   0.99619544  0.03612063
 -0.9977897   0.1637133   0.79692465 -0.9945074  -0.9265712   0.22837359
 -0.505307    0.21374406  0.69711185 -0.12258848 -0.9885827  -0.9999214
  0.9999576  -0.9466005   0.21560572 -0.20814219 -0.3543705   0.49567038
  0.7094252   0.9995915  -0.7771089   0.96353936  0.63386357  0.519528
 -0.8860837   0.8294836  -0.9999914  -0.91920346 -0.98624915  0.72604024
 -0.99993557 -0.9841023  -0.99882627  0.06578995 -0.99528    -0.9969777
  0.4210453   0.9799579   0.9998897   0.8429622  -0.8980982   0.9992768
 -0.9999779   0.03702735 -0.24590491  0.16914296  0.21859828 -0.9989296
  0.2120743  -0.99999785 -0.85409874  0.94275093 -0.99991566  0.99235636
  0.97102964  0.99193186]",[-25.95498   35.344402]
1555,1556,読,14,2,形声 Phonetic,5,"Gon, Gonben",68,ドク、トク、[トウ]、よ-む,と、ど,3,"doku, toku, [too]",5629,1,reading,1,1,yo(mu),6,"read, peruse; understand, read (one's heart), guess, divine ",1981,95555,30875,63301,0.328,0,186,0.325,92088,30875,59835,0.34,0,712,0.338,38,13,9538,21724,P,3.339225369,1.480426466,doku,20,doQ,526,toku,413,do,185,yo,152,too,19,doku,9,too,3,,0,,0,,0,,0,,0,"[-0.99999917  0.00593013 -0.998877    0.04037469 -0.9926592   0.50503224
 -0.8710744  -0.719727    0.07500395 -0.0612722  -0.40639725 -0.16407481
  0.03682924  0.99999756 -0.047844   -0.8984137   0.702662    0.0955932
 -0.9591611   0.70457715  0.77867997 -0.0432644   0.5535299   0.5133327
 -0.99988353 -0.02709453 -0.9993057   0.25588953  0.9987843   0.0531169
 -0.06091581  0.03203532 -0.9988934  -0.9084577   0.81617004  0.99990046
 -0.98894393 -0.01386306  0.99568677 -0.9977977   0.9311032   0.96944124
 -0.99918085  0.89263    -0.99896145 -0.20917596 -0.9846161   0.9985969
  0.9240363   0.9988723   0.45723075 -0.2839632  -0.0677755   0.15100797
  0.9587076   0.9751134  -0.5846964  -0.7153835   0.9202072  -0.27462327
  0.02492396  0.9114583  -0.97059786  0.9503046  -0.9603809  -0.9999973
 -0.3597105   0.9686624   0.89015025  0.99493986  0.9974616   0.06920734
 -0.99240595  0.12621106  0.92753845 -0.9889691  -0.9406432   0.11998395
 -0.38543212  0.09097104  0.27551323 -0.03033894 -0.9978059  -0.9986354
  0.9997218  -0.9454413  -0.63939977 -0.963666   -0.63412637  0.24485138
  0.1598297   0.9955274   0.06634684  0.94781864  0.95578617  0.87603927
 -0.81316406  0.99182117 -0.9999531  -0.96251804 -0.95564204  0.9548127
 -0.9998201  -0.9799311  -0.9972234  -0.52290726 -0.9959774  -0.9923686
 -0.06808501  0.7844642   0.99958193  0.11194265 -0.83888495  0.9939736
 -0.9999773   0.06282886 -0.81553847 -0.6372673   0.21918507 -0.9995196
  0.11073013 -0.99999183 -0.95523703  0.9119246  -0.99963284  0.9949404
  0.9324092   0.96798444]",[-9.625178 23.796543]
1558,1559,突,8,7,会意 Com. Ideographic,3,"Ana, Anakanmuri",10,トツ、つ-く,,1,totsu,4191,2,"protruding, thrusting",1,1,tsu(ku),16,"thrust, pierce, spear, stab, prick; gore; lunge at; push, poke; strike (a bell); attack; strike (at the heart); brave (a storm); be pungent; strike against; (words) rush (to one's lips) ",1981,80719,54145,26431,0.672,0,0,0.672,80715,54145,26427,0.672,0,0,0.672,7,12,20736,19464,S,1.164430592,1.933259934,toQ,14,totu,4,,0,,0,,0,,0,totu,20,tu,1,,0,,0,,0,,0,,0,"[-0.99999374  0.03920556 -0.99794525 -0.7060536  -0.99707776 -0.67452145
 -0.91433066  0.19217682  0.10638421 -0.06886787 -0.721641   -0.11473768
 -0.26242426  0.9999995  -0.91336054 -0.882986   -0.1015816   0.01100016
 -0.9883719   0.574989    0.94397604  0.05135983  0.9608279   0.43675417
 -0.9999229   0.0640314  -0.99997264  0.66392905  0.9911644   0.10169529
  0.05069528 -0.10929237 -0.9468567  -0.6925642  -0.8659175   0.9998866
 -0.9270246  -0.07807063  0.93543756 -0.9951687   0.9983841   0.9932553
 -0.9960903   0.9823794  -0.99986637 -0.15780392 -0.99702334  0.9939958
  0.96366775  0.9991123   0.975693    0.8488577  -0.08503284  0.6956974
  0.9727969   0.99815595 -0.9774891  -0.9873703   0.98895735 -0.7272654
  0.00917331  0.5099316  -0.86468494  0.9763789  -0.902563   -0.99999833
 -0.4483693  -0.39583218  0.8215944   0.9943177   0.9994336   0.2363418
 -0.99554044  0.00160129  0.91513944 -0.9996452  -0.6700932   0.2290612
 -0.4302383   0.18807444  0.21206573 -0.08308425 -0.97956157 -0.9999933
  0.9997854  -0.9789704   0.18244122  0.6994541   0.5846362   0.84784746
 -0.8235304   0.8960032  -0.9901415   0.94660825  0.4965585  -0.23388591
 -0.6989086   0.76592064 -0.9998677  -0.8698264  -0.8596997   0.9783561
 -0.9994565  -0.7519977  -0.9932576   0.68622684 -0.9984174  -0.9944939
  0.9557551   0.7450129   0.99865615  0.5216179  -0.8773195   0.9976059
 -0.999996   -0.08110224  0.30869266  0.34754702  0.1580123  -0.99679196
  0.11680029 -0.9999792  -0.55728644  0.8259192  -0.9998464   0.9860726
  0.9565669   0.97968453]",[-10.604993 -14.872416]
1561,1562,豚,11,7,会意 Com. Ideographic,1,Inoko,3,トン、ぶた,,1,ton,5743,1,hog,1,1,buta,3,"pig, hog, swine",1981,5429,459,4937,0.085,0,0,0.085,5429,459,4937,0.085,0,0,0.085,5,5,351,1938,S,1.140636178,0.599133548,buta,1,ton,184,,0,,0,,0,,0,ton,269,buta,49,,0,,0,,0,,0,,0,"[-9.9999964e-01  8.8066012e-02 -9.9937725e-01  3.4454849e-01
 -9.9822068e-01 -5.6168318e-02 -7.2716480e-01 -8.5350996e-01
  7.0440285e-02  4.0564864e-04  9.7720265e-02 -8.2169637e-02
 -1.2846321e-01  9.9999934e-01 -3.9618632e-01 -9.3384695e-01
  8.8264579e-01 -1.1301443e-02 -9.1294038e-01  3.5853833e-01
  9.5694959e-01  1.0146111e-01  5.1125067e-01 -1.6745405e-01
 -9.9976051e-01  8.1081547e-02 -9.9973786e-01  5.4667628e-01
  9.9511266e-01  1.2124056e-01 -5.7639424e-03 -4.8467260e-02
 -9.9668723e-01 -7.6356620e-01  9.3816793e-01  9.9971867e-01
 -9.9652994e-01 -7.3842317e-02  9.9195397e-01 -9.9771714e-01
  9.6911854e-01  9.6376342e-01 -9.9868762e-01  9.5429540e-01
 -9.9935895e-01 -1.8061936e-01 -9.9227500e-01  9.9759048e-01
  9.8004681e-01  9.9918050e-01  4.9122003e-01 -3.8840184e-01
 -8.6155683e-03  8.9495927e-01  9.6618462e-01  9.8018652e-01
 -5.8259398e-01 -9.8227251e-01  9.7295839e-01 -1.2989165e-01
  6.8775311e-02  9.4670630e-01 -9.0714884e-01  9.8067725e-01
 -9.7979456e-01 -9.9999946e-01 -3.5681662e-01  9.4736683e-01
  8.3420008e-01  9.8614931e-01  9.9854380e-01  7.6866455e-02
 -9.8761982e-01  6.6468656e-02  8.6759251e-01 -9.9815863e-01
 -8.8458729e-01  1.7120413e-01 -5.0238311e-01  1.8239143e-01
  3.5722411e-01 -2.8840799e-02 -9.9504948e-01 -9.9922943e-01
  9.9985290e-01 -9.5040387e-01 -3.2125613e-01 -9.4956696e-01
 -7.3487359e-01  4.2769384e-01  6.7728050e-02  9.9534667e-01
 -8.9003652e-01  9.1730511e-01  7.8289455e-01  6.7992449e-01
 -8.3530051e-01  9.4928420e-01 -9.9998057e-01 -8.5439080e-01
 -9.7150481e-01  9.4194174e-01 -9.9991387e-01 -9.2802471e-01
 -9.9749327e-01 -3.6376330e-01 -9.9944925e-01 -9.9699175e-01
  6.4992315e-01  9.1672403e-01  9.9984479e-01  3.6467132e-01
 -8.8609391e-01  9.9790096e-01 -9.9998772e-01  1.0374000e-02
 -9.0086508e-01  1.6341493e-02  1.4130619e-01 -9.9976134e-01
  1.4239857e-01 -9.9999726e-01 -9.2921555e-01  8.5361326e-01
 -9.9984646e-01  9.9834901e-01  3.4637985e-01  9.8279041e-01]",[-12.941681  34.810886]
1563,1564,貪,11,7,会意 Com. Ideographic,0,"Kai, Kaihen",35,ドン、むさぼ-る,,1,don,5777,1,coveting,1,1,musabo(ru),2,"covet, indulge in",2010,330,293,37,0.888,0,0,0.888,330,293,37,0.888,0,0,0.888,0,4,0,293,.,0,0.23558294,don,293,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,"[-9.9999815e-01  1.7815141e-04 -9.9909586e-01  2.1520187e-01
 -9.8956484e-01 -8.0842942e-01 -7.4042886e-01 -8.9160645e-01
  8.9950286e-02 -1.0155985e-02  2.6941904e-01 -8.3430491e-02
 -1.5638690e-01  9.9999642e-01 -7.8434843e-01 -1.3194588e-01
  7.1664929e-01  6.3522510e-02 -8.6302567e-01  2.0605230e-01
  9.6862084e-01  6.9371030e-02  1.1339661e-01 -5.2381045e-01
 -9.9945801e-01 -2.5269471e-02 -9.9955481e-01  9.4120151e-01
  9.7370839e-01  6.5902412e-02  1.7327117e-04 -1.5589093e-01
 -9.7635245e-01 -9.4873863e-01  9.7503787e-01  9.9979943e-01
 -9.9656582e-01 -5.7723608e-02  9.9681896e-01 -9.9708372e-01
  9.8994654e-01  8.8210440e-01 -9.9674636e-01  9.8008668e-01
 -9.9752009e-01 -1.6537844e-01 -9.8778284e-01  9.9935591e-01
  9.2837983e-01  9.9501473e-01  4.2577171e-01  1.1223446e-02
 -6.7381859e-02  8.0245173e-01  9.6845871e-01  9.4059414e-01
 -3.4514380e-01 -9.8829103e-01  9.9337459e-01  1.6736032e-01
  8.7794505e-02  7.8646785e-01 -9.8546767e-01  9.5365030e-01
 -8.6232299e-01 -9.9999583e-01 -6.4024091e-01  7.6679575e-01
  9.4049793e-01  9.7515601e-01  9.9627692e-01  3.3553800e-01
 -9.7599584e-01  1.6354196e-02  8.0906004e-01 -9.9825388e-01
 -9.4638389e-01  1.6955237e-01 -6.6439676e-01  9.7834073e-02
  8.5713658e-03 -8.2059149e-03 -9.9304211e-01 -9.8634249e-01
  9.9991918e-01 -9.9307740e-01 -8.4767342e-01 -9.4131935e-01
 -9.3631363e-01 -6.7645013e-01  5.3847706e-01  9.9512655e-01
 -9.7894341e-01  8.8064474e-01  8.1564552e-01  8.1384754e-01
 -3.0016443e-01  9.6981072e-01 -9.9982470e-01 -8.4826195e-01
 -9.7701800e-01  8.5400647e-01 -9.9966103e-01 -9.4040841e-01
 -9.9845213e-01 -5.1247269e-01 -9.9979270e-01 -9.8669779e-01
  2.8925753e-01  9.3540460e-01  9.9850047e-01  8.4641576e-01
 -9.2101794e-01  9.9655843e-01 -9.9995100e-01 -6.8035595e-02
 -8.1079757e-01  4.4948369e-01  1.6671151e-01 -9.9979675e-01
  1.9657433e-01 -9.9999058e-01 -7.1434677e-01  9.7850549e-01
 -9.9967515e-01  9.9971282e-01  9.4465619e-01  9.8757380e-01]",[-1.9820843 43.389305 ]
1564,1565,鈍,12,7,形声 Phonetic,2,"Kane, Kanehen",33,ドン、にぶ-い、にぶ-る,,1,don,6235,3,"dullness, slowness, foolishness",2,1,"nibu(i), nibu(ru)",7,"dull, slow; blunt (tool); dim (light); thick (voice). become dull, weaken ",1981,4875,2391,1986,0.546,0,0,0.546,4639,2155,1986,0.52,0,0,0.52,3,12,24,2019,R,0.888686553,1.589592531,don,2,,0,,0,,0,,0,,0,don,24,,0,,0,,0,,0,,0,,0,"[-0.9999826   0.09319415 -0.9968276   0.59188366 -0.9817217  -0.47841588
 -0.93027055  0.22324738  0.01057825  0.06693597 -0.8493894  -0.07948417
 -0.12838845  0.9999991  -0.20850141 -0.93033    -0.06633693  0.05193825
 -0.9176771   0.9709839   0.8328707   0.07912817  0.9767595   0.9041593
 -0.99928606 -0.03388536 -0.9999799  -0.0698399   0.9985567   0.1691444
  0.17171213 -0.00586692 -0.9812997  -0.36753753 -0.42410433  0.9999541
 -0.95390195 -0.07091712  0.99143475 -0.99306124  0.8721722   0.944595
 -0.98159456  0.95109695 -0.9998769  -0.27049583 -0.9833821   0.98516184
  0.8458982   0.9970286   0.82680714  0.45677018  0.00775001 -0.1934033
  0.9821328   0.9986252  -0.9630767  -0.86990774  0.6351599  -0.91556716
  0.09145667  0.5601903  -0.9923059   0.9688956  -0.9318306  -0.9999969
  0.16627777  0.93674284  0.68755555  0.9750638   0.9961761   0.06356323
 -0.9929532   0.0976995   0.9463783  -0.9994313  -0.94815105  0.02749204
 -0.21328603  0.10492264  0.7966591  -0.14533797 -0.9376171  -0.99992114
  0.9998674  -0.6308141   0.48682675  0.11616935 -0.08251305  0.67892903
 -0.9099203   0.9312745  -0.360463    0.9761956   0.415588   -0.20977053
 -0.951946    0.9755272  -0.9997091  -0.9757989  -0.939401    0.9693312
 -0.9997133  -0.63219976 -0.98470676  0.13591199 -0.9984705  -0.99859816
  0.73559844  0.89335614  0.99941176  0.01975183 -0.9735327   0.99440956
 -0.9999958   0.1449088  -0.5974618  -0.888698    0.12120504 -0.9707705
  0.13431782 -0.9999834  -0.4120776   0.85200703 -0.99958694  0.82668483
  0.9313714   0.9775891 ]",[ 25.137478 -36.369396]
1565,1566,曇,16,7,形声 Phonetic,2,"Nichi, Nichihen",38,ドン、くも-る,,1,don,2518,5,"cloud up; fog up, become dim, be blurred; be gloomy ",1,1,kumo(ru),5,"cloud up; fog up, become dim, be blurred; be gloomy ",1981,2475,66,1925,0.033,0,0,0.033,1992,66,1925,0.033,0,0,0.033,2,1,18,62,.,0.764204507,0,don,62,,0,,0,,0,,0,,0,gumo,18,,0,,0,,0,,0,,0,,0,"[-0.99998564  0.01586802 -0.99986595  0.64976835 -0.9958031   0.31452495
 -0.9608782  -0.64520466  0.14071597 -0.04518203 -0.91404974 -0.19009353
 -0.04536252  1.         -0.6656535  -0.96609116  0.39092284  0.01719853
 -0.94911426  0.99183947  0.9378722   0.0989069   0.99340564  0.966828
 -0.9997241  -0.01881591 -0.999974    0.37297338  0.99852353  0.05253395
  0.05507235 -0.10507224 -0.99000144  0.07619739  0.46037948  0.9999913
 -0.9229381  -0.06905229  0.9740219  -0.99775016  0.8749555   0.9737344
 -0.99910325  0.9681728  -0.99999803 -0.191623   -0.9982197   0.99748135
  0.91946507  0.9804495   0.9749671  -0.21410675 -0.0962721   0.8588306
  0.99743986  0.9999724  -0.9983589  -0.9510737   0.68428934 -0.9542668
 -0.08237013  0.71298736 -0.9903988   0.98668575 -0.7840576  -1.
 -0.08801294  0.8692803   0.9311016   0.9798497   0.9991264   0.15372328
 -0.999301    0.02975052  0.77754146 -0.993772   -0.34546658  0.13124776
 -0.57989085  0.10236064  0.87294394 -0.07738645 -0.98995364 -0.99957323
  0.9999938  -0.9724336   0.7268657   0.838065    0.16870083  0.9737117
 -0.995291    0.9732135   0.20506687  0.9888986   0.44334483 -0.26203465
 -0.9678968   0.90499157 -0.99989665 -0.9667387  -0.95652646  0.87657195
 -0.9999192  -0.7461928  -0.99520797  0.6640897  -0.9998109  -0.9991848
  0.3263306   0.56515723  0.9999637   0.5309187  -0.9860216   0.9983754
 -1.          0.01394854 -0.0826664  -0.3409849   0.17557418 -0.90031004
  0.06831679 -0.9999988  -0.4256673   0.96872646 -0.9997434   0.9165326
  0.9783259   0.9335242 ]",[-13.6448145 -23.71341  ]
1569,1570,内,4,2,象形 Pictographic,3,"Hito, Ninben, Hitoyane",104,ナイ、[ダイ]、うち,ノウ、い,2,"nai, [dai]",386,7,"inside, interior, within, between, among. within, within the scope of ",1,1,uchi,11,"inside, interior; house, home; within; between, among, out of; mind; myself. inner ",1981,577184,504865,62153,0.89,1615,3,0.891,506360,490953,14604,0.971,0,0,0.971,60,107,237598,166917,R,4.008241441,3.503723068,nai,159,uti,7,dai,51,,0,,0,,0,nai,232,uti,4,dai,1,,0,,0,,0,,0,"[-0.99998957  0.11525057 -0.9999814   0.73294556 -0.9877333  -0.15657882
 -0.99078363  0.26128334 -0.14245419  0.03545087 -0.8762988  -0.03122197
 -0.07197127  1.         -0.00885749 -0.07991506 -0.5095785   0.03696623
 -0.20726682  0.86745745  0.9849427   0.06913326  0.9274047   0.85056263
 -0.9987413  -0.02152218 -0.9998922   0.14777227  0.97566575  0.1109985
  0.09789894 -0.11511596 -0.92888635  0.28080064 -0.88184965  0.99974465
 -0.97798455 -0.06572976  0.9977109  -0.99585557  0.93349123  0.84406686
 -0.9969109   0.99299204 -0.9999982  -0.24362187 -0.999335    0.99738586
  0.6375421   0.99585515  0.9891672   0.23571952 -0.06754968  0.95766234
  0.98293465  0.999969   -0.99880147 -0.6395602   0.9555212  -0.9700938
 -0.06601591  0.82342726 -0.9896483   0.96115756 -0.03359389 -1.
 -0.36994275  0.81861037  0.51364756  0.98079795  0.9999165   0.10266721
 -0.99988127  0.12863182  0.8789573  -0.9979106  -0.6065806   0.11363544
 -0.3555089   0.09887422  0.36635232 -0.01354606 -0.993272   -0.9996795
  0.9999989  -0.94544566  0.34132415  0.25607443 -0.6056367   0.97575265
 -0.9982653   0.81945413 -0.38992912  0.98631155 -0.21789837  0.11869346
 -0.92411757  0.6874211  -0.999977   -0.94906557 -0.9730117   0.9263824
 -0.9999834  -0.75059575 -0.9936898   0.8746942  -0.99663424 -0.9995014
  0.16584039  0.11871106  0.99918395  0.81347877 -0.9835392   0.9804761
 -1.          0.05449241 -0.05181399 -0.34058604  0.05916693 -0.9933714
  0.07647742 -0.9999988   0.07232231  0.8815921  -0.9999863   0.976037
  0.99402386  0.88741845]",[ -4.86092  -18.392578]
1573,1574,南,9,2,象形 Pictographic,5,Juu,11,ナン、[ナ]、みなみ,,2,"nan, [na]",619,1,south,1,1,minami,1,south,1981,129764,81649,45816,0.641,0,0,0.641,59544,40373,18624,0.684,0,0,0.684,5,26,3091,37611,R,1.484184363,2.508371887,,35,minami,1,,0,,0,,0,,0,,3,,0,,0,,0,,0,,0,,0,"[-0.99999946 -0.0478494  -0.9984796  -0.09680967 -0.979342    0.4286767
 -0.025333   -0.9251244   0.06987515 -0.01260572  0.26632318 -0.09684787
 -0.09748782  0.99995244  0.15897587 -0.3674203   0.7224111   0.0120074
 -0.5303621  -0.69289714  0.95212245  0.06625093 -0.69620335 -0.71903944
 -0.99980444  0.02066119 -0.99210507  0.8972378   0.9843258   0.0748479
 -0.03576627  0.11894082 -0.9929227  -0.932098    0.9804249   0.9980624
 -0.99857515 -0.04208339  0.9915826  -0.9941675   0.99421895  0.96946955
 -0.99786234  0.96807194 -0.9365892  -0.19287525 -0.88189906  0.99327135
  0.93571365  0.9960933   0.67933106  0.22655706  0.00458591  0.8586541
  0.7994503   0.07407393  0.84383714 -0.98953557  0.99196315  0.11174124
  0.11277997  0.96449655 -0.98184     0.9448866  -0.95872635 -0.99998873
 -0.902774    0.95883393  0.7612791   0.9794739   0.9967009   0.08712095
 -0.97389     0.07176492  0.9637414  -0.99849015 -0.92506063  0.14053315
 -0.7713538   0.1692916  -0.6447496  -0.07794953 -0.9977982  -0.99283314
  0.9998732  -0.9771417  -0.93973243 -0.8532205  -0.88540685  0.2047875
  0.9079333   0.9876492  -0.9315285   0.7490788   0.7500461   0.92341524
 -0.6201216   0.94050145 -0.9999659  -0.48729464 -0.90531087  0.86085355
 -0.999818   -0.90485626 -0.99860555 -0.60238373 -0.9965583  -0.9890535
  0.73727864  0.7548587   0.99956465  0.71857566 -0.8094149   0.9958474
 -0.9984569   0.02559034 -0.88120115  0.3878953   0.05650279 -0.9999121
  0.14041466 -0.99998623 -0.87901276  0.90499496 -0.999942    0.9996958
  0.9510218   0.9602505 ]",[-13.447199  49.044456]
